Protein ID,Gene name,Protein name,Genename_ProteinID,Mol. weight [Da],Sequence coverage [%],Peptides per protein,Unique peptides per protein
A0A087X2F1,ZSCAN26,Zinc finger and SCAN domain-containing protein 26,ZSCAN26__A0A087X2F1,39697.0,16.3,5.0,4.0
A0A024RCR6,BAT3,Large proline-rich protein BAG6,BAT3__A0A024RCR6,118700.0,41.4,31.0,31.0
A0A044PY82,LOC113230,Uncharacterized protein LOC113230,LOC113230__A0A044PY82,39004.0,22.4,6.0,5.0
G5E9M9,VGLL4,Transcription cofactor vestigial-like protein 4,VGLL4__G5E9M9,24571.0,22.5,4.0,4.0
A0A075B6F5,MYO18B,Unconventional myosin-XVIIIb,MYO18B__A0A075B6F5,285210.0,2.9,7.0,6.0
A0A075B6H3,TMCO4,Transmembrane and coiled-coil domain-containing protein 4,TMCO4__A0A075B6H3,62430.0,5.7,2.0,2.0
A0A075B6H9,IGLV4-69,,IGLV4-69__A0A075B6H9,12773.0,14.3,2.0,2.0
A0A075B6I0,IGLV8-61,,IGLV8-61__A0A075B6I0,12814.0,20.5,3.0,3.0
A0A075B6J9,IGLV2-18,,IGLV2-18__A0A075B6J9,12412.0,24.6,3.0,2.0
A0A075B6K4,IGLV3-10,,IGLV3-10__A0A075B6K4,12441.0,34.8,5.0,1.0
A0A075B6K5,IGLV3-9,,IGLV3-9__A0A075B6K5,12332.0,49.6,6.0,3.0
A0A075B6P5,IGKV2D-28,Ig kappa chain V-II region FR,IGKV2D-28__A0A075B6P5,12957.0,45.8,5.0,2.0
Q5T409,DISC1,Disrupted in schizophrenia 1 protein,DISC1__Q5T409,91132.0,6.6,4.0,1.0
A0A075B6R2,IGHV4-4,,IGHV4-4__A0A075B6R2,12848.0,37.6,3.0,2.0
A0A0C4DH68,IGKV2-24,,IGKV2-24__A0A0C4DH68,13079.0,33.3,3.0,2.0
A0A0J9YYE9,TRBC2,T-cell receptor beta-1 chain C region,TRBC2__A0A0J9YYE9,19769.0,7.9,1.0,1.0
A0A075B6S2,IGKV2D-29,,IGKV2D-29__A0A075B6S2,13143.0,45.8,5.0,3.0
A0A075B6S5,IGKV1-27,,IGKV1-27__A0A075B6S5,12711.0,26.5,2.0,1.0
A0A075B6S9,IGKV1D-37,,IGKV1D-37__A0A075B6S9,12688.0,13.7,1.0,1.0
A0A075B6T1,AMBRA1,Activating molecule in BECN1-regulated autophagy protein 1,AMBRA1__A0A075B6T1,129600.0,8.8,6.0,6.0
A0A075B6T4,KBTBD4,Kelch repeat and BTB domain-containing protein 4,KBTBD4__A0A075B6T4,61009.0,9.6,4.0,3.0
A0A075B730,EPPK1,,EPPK1__A0A075B730,553120.0,57.9,97.0,7.0
A0A075B738,PECAM1,,PECAM1__A0A075B738,82521.0,55.1,34.0,1.0
A0A075B746,MRPS21,"28S ribosomal protein S21, mitochondrial",MRPS21__A0A075B746,10688.0,39.1,3.0,3.0
A0A087WX83,PDE4DIP,,PDE4DIP__A0A087WX83,275270.0,15.4,33.0,
A0A075B754,ATAD5,ATPase family AAA domain-containing protein 5,ATAD5__A0A075B754,137990.0,5.6,6.0,6.0
Q8TEK8,FLJ00186,Ras association domain-containing protein 5,FLJ00186__Q8TEK8,20905.0,34.6,6.0,6.0
A0A075B773,PEX12,Peroxisome assembly protein 12,PEX12__A0A075B773,40683.0,35.2,10.0,10.0
A0A075B7B1,SYNM,,SYNM__A0A075B7B1,140160.0,73.8,86.0,1.0
A0A075B7B8,IGHV3OR16-12,,IGHV3OR16-12__A0A075B7B8,12874.0,18.8,2.0,1.0
A0A075B7D0,IGHV1OR15-1,,IGHV1OR15-1__A0A075B7D0,13012.0,21.4,2.0,2.0
A0A075B7F8,POM121C,Nuclear envelope pore membrane protein POM 121C,POM121C__A0A075B7F8,125090.0,23.4,20.0,5.0
A0A087WSV0,BCL2L12,Bcl-2-like protein 12,BCL2L12__A0A087WSV0,26907.0,18.8,4.0,4.0
V9HW75,HEL-S-109,Nucleobindin-2,HEL-S-109__V9HW75,50222.0,61.0,23.0,23.0
A0A087WSW9,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1__A0A087WSW9,60078.0,69.0,26.0,25.0
A8MVE2,LILRB1,Leukocyte immunoglobulin-like receptor subfamily B member 1,LILRB1__A8MVE2,69461.0,24.4,13.0,1.0
A0A087WSY5,CPB2,Carboxypeptidase B2,CPB2__A0A087WSY5,44022.0,30.1,11.0,10.0
A0A0G2JQJ0,IGKV1D-8,,IGKV1D-8__A0A0G2JQJ0,12865.0,16.2,1.0,1.0
A0A087X2I2,GPX4,Glutathione peroxidase,GPX4__A0A087X2I2,22024.0,49.5,10.0,10.0
A0A087WT20,DCAF13,DDB1- and CUL4-associated factor 13,DCAF13__A0A087WT20,67550.0,32.8,17.0,17.0
A0A087WT42,SLC2A8,"Solute carrier family 2, facilitated glucose transporter member 8",SLC2A8__A0A087WT42,34365.0,6.1,2.0,2.0
A0A087WT53,MAGI1,,MAGI1__A0A087WT53,128070.0,30.7,25.0,1.0
A0A0G2JNC6,TMC4,Transmembrane channel-like protein,TMC4__A0A0G2JNC6,26597.0,7.1,1.0,1.0
A0A087WTA8,COL1A2,Collagen alpha-2(I) chain,COL1A2__A0A087WTA8,129150.0,76.8,76.0,75.0
A0A087WTJ2,GIMAP1-GIMAP5,GTPase IMAP family member 5,GIMAP1-GIMAP5__A0A087WTJ2,57051.0,49.5,21.0,16.0
A0A087WTK0,PTPRJ,Protein-tyrosine-phosphatase,PTPRJ__A0A087WTK0,146070.0,24.1,24.0,24.0
A0A087WTM1,ROBO1,Roundabout homolog 1,ROBO1__A0A087WTM1,175850.0,14.1,16.0,16.0
F8W6X9,SDK1,Protein sidekick-1,SDK1__F8W6X9,240000.0,3.6,6.0,6.0
A0A087WTS0,GPX2,Glutathione peroxidase,GPX2__A0A087WTS0,21804.0,78.8,14.0,14.0
A0A087WVR3,UHRF1,E3 ubiquitin-protein ligase UHRF1,UHRF1__A0A087WVR3,91099.0,35.4,22.0,21.0
A0A0A0MRA9,RGS6,Regulator of G-protein signaling 6,RGS6__A0A0A0MRA9,48509.0,16.7,6.0,6.0
A0A087WTY7,GBA3,Cytosolic beta-glucosidase,GBA3__A0A087WTY7,53532.0,40.2,15.0,15.0
A0A087WU02,ERGIC2,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2__A0A087WU02,43432.0,38.9,11.0,11.0
Q13030,GPErik,Glycophorin-A,GPErik__Q13030,9331.8,36.5,3.0,3.0
A0A087WU53,MAGT1,Magnesium transporter protein 1,MAGT1__A0A087WU53,41531.0,17.4,8.0,8.0
A0A087WU64,POLA1,DNA polymerase,POLA1__A0A087WU64,165770.0,14.6,15.0,15.0
E7ER32,MKL1,MKL/myocardin-like protein 1,MKL1__E7ER32,85075.0,17.7,11.0,9.0
A0A087WUB9,CTNNBL1,Beta-catenin-like protein 1,CTNNBL1__A0A087WUB9,65702.0,40.1,22.0,22.0
A0A087WUD1,ZNF787,Zinc finger protein 787,ZNF787__A0A087WUD1,40428.0,35.3,9.0,9.0
A0A087WUD6,GAGE2E,G antigen 4,GAGE2E__A0A087WUD6,12217.0,50.0,2.0,1.0
A0A087WZ03,CNTNAP3B,Contactin-associated protein-like 3,CNTNAP3B__A0A087WZ03,106320.0,7.3,6.0,6.0
J3QTS8,TPSAB1,Tryptase alpha/beta-1,TPSAB1__J3QTS8,31282.0,34.0,9.0,8.0
G5E9H5,SNX10,Sorting nexin-10,SNX10__G5E9H5,18585.0,15.5,2.0,2.0
H0Y8A4,RYK,Tyrosine-protein kinase RYK,RYK__H0Y8A4,61974.0,9.9,5.0,5.0
A0A087WUK2,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL__A0A087WUK2,40040.0,40.8,14.0,5.0
A0A087WXK2,PEG10,Retrotransposon-derived protein PEG10,PEG10__A0A087WXK2,80101.0,46.7,21.0,21.0
A0A087WUM0,SYNJ2BP-COX16,Synaptojanin-2-binding protein,SYNJ2BP-COX16__A0A087WUM0,20774.0,62.9,10.0,1.0
A0A087WUQ6,GPX1,Glutathione peroxidase,GPX1__A0A087WUQ6,21938.0,85.1,15.0,15.0
E7ETK0,RPS24,40S ribosomal protein S24,RPS24__E7ETK0,15197.0,35.1,4.0,4.0
A0A087WUT6,EIF5B,Eukaryotic translation initiation factor 5B,EIF5B__A0A087WUT6,138680.0,47.4,55.0,55.0
A0A087WUW0,CBY1,Protein chibby homolog 1,CBY1__A0A087WUW0,19287.0,18.9,2.0,2.0
A0A087WUW9,ARL15,ADP-ribosylation factor-like protein 15,ARL15__A0A087WUW9,22876.0,53.4,8.0,8.0
A0A087WUY7,PIAS2,E3 SUMO-protein ligase PIAS2,PIAS2__A0A087WUY7,59642.0,9.5,4.0,3.0
A0A087WV05,MYCBP,C-Myc-binding protein,MYCBP__A0A087WV05,12755.0,67.3,9.0,9.0
A0A0A0MR14,OSCAR,Osteoclast-associated immunoglobulin-like receptor,OSCAR__A0A0A0MR14,27602.0,7.9,2.0,2.0
A0A087WV24,DDC,Aromatic-L-amino-acid decarboxylase,DDC__A0A087WV24,49697.0,40.0,13.0,13.0
A0A087WV67,UBXN8,UBX domain-containing protein 8,UBXN8__A0A087WV67,30529.0,23.0,4.0,4.0
A0A087WV96,CYP3A7,,CYP3A7__A0A087WV96,57433.0,48.9,26.0,1.0
A0A087WVA1,SELT,Selenoprotein T,SELT__A0A087WVA1,22344.0,32.3,5.0,5.0
A0A087WVF7,ITSN2,Intersectin-2,ITSN2__A0A087WVF7,191600.0,33.1,49.0,43.0
A0A087WVM2,CD177,CD177 antigen,CD177__A0A087WVM2,46381.0,18.5,6.0,3.0
A0A087WVP1,FAT1,Protocadherin Fat 1,FAT1__A0A087WVP1,506370.0,20.8,73.0,73.0
A0A087WVQ6,CLTC,Clathrin heavy chain,CLTC__A0A087WVQ6,192060.0,77.7,104.0,83.0
A0A087WVS8,MOB2,MOB kinase activator 2,MOB2__A0A087WVS8,26575.0,19.7,5.0,5.0
A0A087WVX4,DIO1,Iodothyronine deiodinase,DIO1__A0A087WVX4,28774.0,19.8,4.0,3.0
A0A087WW06,TTC28,Tetratricopeptide repeat protein 28,TTC28__A0A087WW06,256860.0,14.6,26.0,23.0
A0A087WX95,RUSC1,RUN and SH3 domain-containing protein 1,RUSC1__A0A087WX95,29111.0,18.8,3.0,3.0
A0A087WW23,ALOX5AP,Arachidonate 5-lipoxygenase-activating protein,ALOX5AP__A0A087WW23,24208.0,18.8,4.0,4.0
C9JAG1,EPT1,Ethanolaminephosphotransferase 1,EPT1__C9JAG1,20557.0,21.7,2.0,2.0
A0A087WW66,PSMD1,,PSMD1__A0A087WW66,105850.0,66.6,49.0,1.0
A0A087X0Q4,IGKV2-40,Ig kappa chain V-II region Cum,IGKV2-40__A0A087X0Q4,11434.0,33.7,4.0,1.0
A0A087WW96,SYN2,Synapsin-2,SYN2__A0A087WW96,62996.0,11.7,5.0,4.0
A0A087WWA5,TNXB,,TNXB__A0A087WWA5,165540.0,38.5,56.0,8.0
A0A087WWF1,SELM,Selenoprotein M,SELM__A0A087WWF1,16081.0,55.6,5.0,5.0
A0A087WWF6,POLD2,DNA polymerase delta subunit 2,POLD2__A0A087WWF6,54695.0,27.6,10.0,10.0
A0A087WWH3,GLTSCR1,Glioma tumor suppressor candidate region gene 1 protein,GLTSCR1__A0A087WWH3,152820.0,6.2,8.0,8.0
A0A087WWI0,C10orf11,Leucine-rich repeat-containing protein C10orf11,C10orf11__A0A087WWI0,25689.0,35.0,8.0,8.0
A0A087WWK8,IQSEC1,IQ motif and SEC7 domain-containing protein 1,IQSEC1__A0A087WWK8,124480.0,28.3,27.0,3.0
A0A087WWM4,GMPR2,GMP reductase,GMPR2__A0A087WWM4,38217.0,54.9,16.0,15.0
A0A087WWM6,PRODH,"Proline dehydrogenase 1, mitochondrial",PRODH__A0A087WWM6,68028.0,21.5,9.0,9.0
A0A087WWP4,RBM15,Putative RNA-binding protein 15,RBM15__A0A087WWP4,102130.0,42.0,30.0,28.0
A0A087WWP8,RSBN1,Round spermatid basic protein 1,RSBN1__A0A087WWP8,84975.0,18.3,11.0,10.0
A0A087WWR8,SULF1,Extracellular sulfatase Sulf-1,SULF1__A0A087WWR8,77432.0,24.8,16.0,16.0
A0A087WWS1,THOC1,THO complex subunit 1,THOC1__A0A087WWS1,75651.0,45.5,27.0,27.0
A0A087WWW7,TNS1,,TNS1__A0A087WWW7,143520.0,78.3,77.0,1.0
A0A087WWW8,CABIN1,Calcineurin-binding protein cabin-1,CABIN1__A0A087WWW8,240760.0,10.0,15.0,15.0
H7BZL1,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5,MAP2K5__H7BZL1,14141.0,26.6,2.0,2.0
A0A087WWY8,CFAP99,Cilia- and flagella-associated protein 99,CFAP99__A0A087WWY8,74944.0,3.4,3.0,3.0
A0A087WWY9,RIN3,Ras and Rab interactor 3,RIN3__A0A087WWY9,100560.0,21.5,17.0,17.0
A0A087WXB8,ST3GAL6,"Type 2 lactosamine alpha-2,3-sialyltransferase",ST3GAL6__A0A087WXB8,43470.0,21.9,10.0,10.0
A0A087WXC5,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10__A0A087WXC5,40836.0,56.3,15.0,15.0
A0A087WXD1,SLC9A7,Sodium/hydrogen exchanger,SLC9A7__A0A087WXD1,80215.0,12.8,7.0,7.0
E9PQ70,PAMR1,Inactive serine protease PAMR1,PAMR1__E9PQ70,74736.0,11.4,6.0,6.0
A0A0D9SEW3,ZCCHC17,Nucleolar protein of 40 kDa,ZCCHC17__A0A0D9SEW3,27994.0,28.0,7.0,7.0
A0A087WXI0,RAB44,Ras-related protein Rab-44,RAB44__A0A087WXI0,110850.0,26.9,19.0,19.0
A0A087WXK4,GPR155,Integral membrane protein GPR155,GPR155__A0A087WXK4,93685.0,5.5,4.0,4.0
J3QSS3,ABCA2,ATP-binding cassette sub-family A member 2,ABCA2__J3QSS3,269930.0,10.6,21.0,20.0
A0A087WXK8,FAM83D,Protein FAM83D,FAM83D__A0A087WXK8,67664.0,17.6,9.0,9.0
A0A087WXL1,FOLR3,Folate receptor gamma,FOLR3__A0A087WXL1,27884.0,20.0,4.0,2.0
A0A087WXL6,VPS11,,VPS11__A0A087WXL6,107810.0,43.1,34.0,1.0
A0A087WXM6,RPL17,60S ribosomal protein L17,RPL17__A0A087WXM6,19586.0,64.5,14.0,14.0
A0A087WXN9,MTSS1L,MTSS1-like protein,MTSS1L__A0A087WXN9,79797.0,27.6,16.0,15.0
A0A087WXR3,BFAR,Bifunctional apoptosis regulator,BFAR__A0A087WXR3,24276.0,12.2,2.0,2.0
A0A087WXS0,TNNI2,"Troponin I, fast skeletal muscle",TNNI2__A0A087WXS0,21321.0,15.9,3.0,3.0
A0A087WXU0,RMND1,Required for meiotic nuclear division protein 1 homolog,RMND1__A0A087WXU0,32260.0,43.7,11.0,11.0
A0A087WXV4,HNF4A,Hepatocyte nuclear factor 4-alpha,HNF4A__A0A087WXV4,49990.0,33.6,11.0,11.0
H7BZQ3,OTUD5,OTU domain-containing protein 5,OTUD5__H7BZQ3,48893.0,8.8,3.0,3.0
A0A087WXW9,COL5A1,,COL5A1__A0A087WXW9,183650.0,33.3,47.0,1.0
A0A087WXX8,SDHB,,SDHB__A0A087WXX8,14143.0,82.9,10.0,1.0
A0A087WY55,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1__A0A087WY55,31102.0,48.6,10.0,10.0
A0A087WY58,NEK3,Serine/threonine-protein kinase Nek3,NEK3__A0A087WY58,56684.0,22.3,6.0,6.0
A0A087WZR0,PCSK6,Proprotein convertase subtilisin/kexin type 6,PCSK6__A0A087WZR0,105330.0,13.5,10.0,10.0
A0A087WY71,AP2M1,AP-2 complex subunit mu,AP2M1__A0A087WY71,49526.0,68.7,24.0,13.0
A0A087WY85,UBE2D3,Ubiquitin-conjugating enzyme E2 D3,UBE2D3__A0A087WY85,16817.0,24.3,3.0,1.0
A0A087WY96,SLC6A6,Transporter,SLC6A6__A0A087WY96,81338.0,11.2,7.0,6.0
H3BN27,PLLP,Plasmolipin,PLLP__H3BN27,13105.0,18.5,1.0,1.0
A0A087WYF7,APOOL,MICOS complex subunit MIC27,APOOL__A0A087WYF7,29205.0,59.7,11.0,11.0
G3V4A5,MED6,Mediator of RNA polymerase II transcription subunit 6,MED6__G3V4A5,28723.0,27.7,6.0,6.0
A0A087WYN9,DHX29,ATP-dependent RNA helicase DHX29,DHX29__A0A087WYN9,155290.0,35.9,41.0,40.0
A0A087WYP2,C11orf31,Selenoprotein H,C11orf31__A0A087WYP2,13303.0,36.4,6.0,6.0
A0A087WYP7,TBL3,,TBL3__A0A087WYP7,55933.0,39.8,14.0,1.0
A0A087WYT3,PTGES3,Prostaglandin E synthase 3,PTGES3__A0A087WYT3,19155.0,53.7,8.0,8.0
A0A087WYU2,C16orf13,UPF0585 protein C16orf13,C16orf13__A0A087WYU2,20428.0,54.3,9.0,9.0
A0A087WYV8,FBN2,Fibrillin-2,FBN2__A0A087WYV8,314670.0,4.4,12.0,8.0
A0A087WYV9,SYNJ2BP-COX16,,SYNJ2BP-COX16__A0A087WYV9,20527.0,63.2,11.0,2.0
A0A087WZ09,GATA4,Transcription factor GATA-4,GATA4__A0A087WZ09,45423.0,7.9,2.0,1.0
A0A087WZ13,RAVER1,Ribonucleoprotein PTB-binding 1,RAVER1__A0A087WZ13,77843.0,53.7,23.0,23.0
A0A087X072,RECQL4,ATP-dependent DNA helicase Q4,RECQL4__A0A087X072,94623.0,4.8,3.0,3.0
A0A087WZ54,TMEM154,Transmembrane protein 154,TMEM154__A0A087WZ54,18419.0,19.8,2.0,2.0
A0A087WZ62,ALG9,"Alpha-1,2-mannosyltransferase ALG9",ALG9__A0A087WZ62,95921.0,11.0,8.0,8.0
A0A087WZ65,ANK3,,ANK3__A0A087WZ65,108600.0,36.1,25.0,1.0
A0A087WZK6,FAM69A,Protein FAM69A,FAM69A__A0A087WZK6,42122.0,22.8,6.0,6.0
E0YMJ8,HNF1B,Hepatocyte nuclear factor 1-beta,HNF1B__E0YMJ8,47451.0,20.0,5.0,5.0
A0A087WZE9,HMGN3,High mobility group nucleosome-binding domain-containing protein 3,HMGN3__A0A087WZE9,13956.0,29.2,4.0,3.0
A0A087WZF1,LPP,,LPP__A0A087WZF1,63382.0,82.9,32.0,1.0
A0A087WZG4,ARHGEF18,Rho guanine nucleotide exchange factor 18,ARHGEF18__A0A087WZG4,126100.0,26.9,22.0,22.0
A0A087WZK0,DHPS,Deoxyhypusine synthase,DHPS__A0A087WZK0,41114.0,27.0,8.0,8.0
D6RHI9,RNASET2,Ribonuclease T2,RNASET2__D6RHI9,29114.0,29.2,6.0,6.0
A0A087WZM8,TMEM254,Transmembrane protein 254,TMEM254__A0A087WZM8,11139.0,10.9,1.0,1.0
A0A087WZN1,IDH3B,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",IDH3B__A0A087WZN1,42410.0,47.5,15.0,15.0
A0A087WZP9,LIME1,,LIME1__A0A087WZP9,21672.0,16.1,3.0,1.0
A0A087WZQ7,NAPB,Beta-soluble NSF attachment protein,NAPB__A0A087WZQ7,33917.0,36.1,8.0,6.0
A0A087WZR4,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B__A0A087WZR4,24421.0,16.7,4.0,1.0
A0A087WZT0,SAMD4B,Protein Smaug homolog 2,SAMD4B__A0A087WZT0,72413.0,29.6,11.0,11.0
A0A087WZT2,METTL7B,Methyltransferase-like protein 7B,METTL7B__A0A087WZT2,31288.0,44.6,11.0,11.0
A0A087WZX0,BCL9L,B-cell CLL/lymphoma 9-like protein,BCL9L__A0A087WZX0,153090.0,9.4,12.0,12.0
A0A087WZY6,ENO4,,ENO4__A0A087WZY6,68760.0,1.8,1.0,1.0
A0A087WZZ4,RHAG,Ammonium transporter Rh type A,RHAG__A0A087WZZ4,40853.0,2.4,1.0,1.0
J3KPF9,KIF3A,Kinesin-like protein,KIF3A__J3KPF9,80354.0,29.6,17.0,15.0
A0A087X020,SBDS,Ribosome maturation protein SBDS,SBDS__A0A087X020,28864.0,69.2,20.0,20.0
A0A087X089,CCL14,C-C motif chemokine,CCL14__A0A087X089,13060.0,18.3,2.0,2.0
A0A087X0B7,SNAP47,Synaptosomal-associated protein 47,SNAP47__A0A087X0B7,47298.0,10.5,4.0,4.0
A0A087X0D5,CTSH,Pro-cathepsin H,CTSH__A0A087X0D5,36269.0,19.8,6.0,6.0
A0A087X0H9,RBM26,RNA-binding protein 26,RBM26__A0A087X0H9,113790.0,28.4,26.0,1.0
A0A087X0K0,COL15A1,Collagen alpha-1(XV) chain,COL15A1__A0A087X0K0,140060.0,20.9,21.0,21.0
A0A087X0M4,SLC4A1AP,Kanadaptin,SLC4A1AP__A0A087X0M4,82890.0,46.9,29.0,29.0
A0A087X0M8,CHL1,Neural cell adhesion molecule L1-like protein,CHL1__A0A087X0M8,130790.0,17.8,16.0,1.0
A0A087X0N2,LEPROT,Leptin receptor gene-related protein,LEPROT__A0A087X0N2,15428.0,9.3,1.0,1.0
A0A087X0N3,NOL4L,Nucleolar protein 4-like,NOL4L__A0A087X0N3,74224.0,19.3,9.0,6.0
A0A087X0P0,CENPE,Kinesin-like protein,CENPE__A0A087X0P0,312100.0,5.6,14.0,14.0
A0A087X0Q5,CLEC18B,C-type lectin domain family 18 member C,CLEC18B__A0A087X0Q5,49660.0,7.4,3.0,3.0
A0A087X0Q9,SELO,Selenoprotein O,SELO__A0A087X0Q9,73338.0,43.0,20.0,20.0
F5H6S1,KDM6A,Lysine-specific demethylase 6A,KDM6A__F5H6S1,147010.0,8.6,11.0,4.0
A0A087X0R6,SNX12,Sorting nexin-12,SNX12__A0A087X0R6,19825.0,47.1,11.0,9.0
A0A087X0S5,COL6A1,Collagen alpha-1(VI) chain,COL6A1__A0A087X0S5,108340.0,58.1,53.0,53.0
A0A087X0T3,MYH7B,Myosin-7B,MYH7B__A0A087X0T3,225710.0,8.1,16.0,7.0
A0A087X0U3,SLC1A3,Amino acid transporter,SLC1A3__A0A087X0U3,47099.0,16.0,6.0,5.0
A0A087X0V5,OAS2,2-5-oligoadenylate synthase 2,OAS2__A0A087X0V5,83234.0,37.5,25.0,25.0
A0A087X0W7,ACOT2,"Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT2__A0A087X0W7,46292.0,82.4,26.0,2.0
A0A087X0W9,OTUD6B,OTU domain-containing protein 6B,OTUD6B__A0A087X0W9,37325.0,27.2,8.0,8.0
A0A087X0Y7,CD72,B-cell differentiation antigen CD72,CD72__A0A087X0Y7,40146.0,17.8,5.0,5.0
A0A0G2JN29,NOMO1,Nodal modulator 1,NOMO1__A0A0G2JN29,139540.0,56.7,52.0,3.0
E7EWM3,ZMIZ2,Zinc finger MIZ domain-containing protein 2,ZMIZ2__E7EWM3,93667.0,5.3,4.0,1.0
A0A087X159,SSBP2,Single-stranded DNA-binding protein 2,SSBP2__A0A087X159,38754.0,10.6,3.0,1.0
A0A087X165,SRCIN1,SRC kinase signaling inhibitor 1,SRCIN1__A0A087X165,130460.0,33.7,34.0,34.0
A0A087X188,BIN2,Bridging integrator 2,BIN2__A0A087X188,65023.0,43.9,18.0,17.0
G3V4U9,ATXN3,Ataxin-3,ATXN3__G3V4U9,31610.0,34.5,8.0,6.0
A0A087X1B1,IKBKG,NF-kappa-B essential modulator,IKBKG__A0A087X1B1,48069.0,41.1,14.0,8.0
A0A087X1E4,ARFIP2,Arfaptin-2,ARFIP2__A0A087X1E4,41595.0,32.6,10.0,10.0
A0A087X1G7,SELENOF,15 kDa selenoprotein,SELENOF__A0A087X1G7,17942.0,34.8,5.0,5.0
A0A087X1I8,ARMC9,LisH domain-containing protein ARMC9,ARMC9__A0A087X1I8,91818.0,42.3,24.0,24.0
A0A087X1J7,GPX3,Glutathione peroxidase,GPX3__A0A087X1J7,25402.0,34.2,7.0,7.0
A0A087X1K6,KLF13,Krueppel-like factor 13,KLF13__A0A087X1K6,31225.0,16.4,3.0,3.0
A0A087X1L8,ICOSLG,ICOS ligand,ICOSLG__A0A087X1L8,20996.0,10.9,2.0,2.0
C9IYE1,CADPS2,Calcium-dependent secretion activator 2,CADPS2__C9IYE1,147580.0,6.0,7.0,6.0
A0A087X1R1,SMTN,,SMTN__A0A087X1R1,108010.0,53.1,50.0,1.0
A0A087X1S7,CD48,CD48 antigen,CD48__A0A087X1S7,28855.0,11.5,3.0,3.0
A0A087X1T7,ACAN,Aggrecan core protein,ACAN__A0A087X1T7,255580.0,15.4,29.0,29.0
A0A087X1W8,CADM1,Cell adhesion molecule 1,CADM1__A0A087X1W8,45676.0,32.5,10.0,10.0
A0A0G2JQX1,TUBGCP5,Gamma-tubulin complex component 5,TUBGCP5__A0A0G2JQX1,118650.0,14.9,13.0,13.0
A0A087X1Z3,PSME2,Proteasome activator complex subunit 2,PSME2__A0A087X1Z3,29126.0,63.8,17.0,17.0
A0A087X211,KIAA1524,Protein CIP2A,KIAA1524__A0A087X211,102280.0,30.2,24.0,24.0
A0A087X256,KIAA1033,WASH complex subunit 7,KIAA1033__A0A087X256,136500.0,40.7,42.0,42.0
A0A087X279,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2,IFIT2__A0A087X279,55984.0,42.4,19.0,19.0
