Protein ID,Gene names,Protein names,ProteinID_Genename,Genename_ProteinID
A0A075B6K5,IGLV3-9,,A0A075B6K5_IGLV3-9,IGLV3-9__A0A075B6K5
A0A075B6P5,IGKV2D-28,Ig kappa chain V-II region FR,A0A075B6P5_IGKV2D-28,IGKV2D-28__A0A075B6P5
Q5T409,DISC1,Disrupted in schizophrenia 1 protein,Q5T409_DISC1,DISC1__Q5T409
A0A075B6R2,IGHV4-4,,A0A075B6R2_IGHV4-4,IGHV4-4__A0A075B6R2
A0A0C4DH68,IGKV2-24,,A0A0C4DH68_IGKV2-24,IGKV2-24__A0A0C4DH68
A0A0J9YYE9,TRBC2,T-cell receptor beta-1 chain C region,A0A0J9YYE9_TRBC2,TRBC2__A0A0J9YYE9
A0A075B6S2,IGKV2D-29,,A0A075B6S2_IGKV2D-29,IGKV2D-29__A0A075B6S2
A0A075B6S5,IGKV1-27,,A0A075B6S5_IGKV1-27,IGKV1-27__A0A075B6S5
A0A075B6S9,IGKV1D-37,,A0A075B6S9_IGKV1D-37,IGKV1D-37__A0A075B6S9
A0A075B6T1,AMBRA1,Activating molecule in BECN1-regulated autophagy protein 1,A0A075B6T1_AMBRA1,AMBRA1__A0A075B6T1
A0A075B6T4,KBTBD4,Kelch repeat and BTB domain-containing protein 4,A0A075B6T4_KBTBD4,KBTBD4__A0A075B6T4
A0A075B730,EPPK1,,A0A075B730_EPPK1,EPPK1__A0A075B730
A0A075B738,PECAM1,,A0A075B738_PECAM1,PECAM1__A0A075B738
A0A075B746,MRPS21,"28S ribosomal protein S21, mitochondrial",A0A075B746_MRPS21,MRPS21__A0A075B746
A0A087WX83,PDE4DIP,,A0A087WX83_PDE4DIP,PDE4DIP__A0A087WX83
A0A075B754,ATAD5,ATPase family AAA domain-containing protein 5,A0A075B754_ATAD5,ATAD5__A0A075B754
Q8TEK8,FLJ00186,Ras association domain-containing protein 5,Q8TEK8_FLJ00186,FLJ00186__Q8TEK8
A0A075B773,PEX12,Peroxisome assembly protein 12,A0A075B773_PEX12,PEX12__A0A075B773
A0A075B7B1,SYNM,,A0A075B7B1_SYNM,SYNM__A0A075B7B1
A0A075B7B8,IGHV3OR16-12,,A0A075B7B8_IGHV3OR16-12,IGHV3OR16-12__A0A075B7B8
A0A075B7D0,IGHV1OR15-1,,A0A075B7D0_IGHV1OR15-1,IGHV1OR15-1__A0A075B7D0
A0A075B7F8,POM121C,Nuclear envelope pore membrane protein POM 121C,A0A075B7F8_POM121C,POM121C__A0A075B7F8
A0A087WSV0,BCL2L12,Bcl-2-like protein 12,A0A087WSV0_BCL2L12,BCL2L12__A0A087WSV0
V9HW75,HEL-S-109,Nucleobindin-2,V9HW75_HEL-S-109,HEL-S-109__V9HW75
A0A087WSW9,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",A0A087WSW9_TXNRD1,TXNRD1__A0A087WSW9
A8MVE2,LILRB1,Leukocyte immunoglobulin-like receptor subfamily B member 1,A8MVE2_LILRB1,LILRB1__A8MVE2
A0A087WSY5,CPB2,Carboxypeptidase B2,A0A087WSY5_CPB2,CPB2__A0A087WSY5
A0A0G2JQJ0,IGKV1D-8,,A0A0G2JQJ0_IGKV1D-8,IGKV1D-8__A0A0G2JQJ0
A0A087X2I2,GPX4,Glutathione peroxidase,A0A087X2I2_GPX4,GPX4__A0A087X2I2
A0A087WT20,DCAF13,DDB1- and CUL4-associated factor 13,A0A087WT20_DCAF13,DCAF13__A0A087WT20
A0A087WT42,SLC2A8,"Solute carrier family 2, facilitated glucose transporter member 8",A0A087WT42_SLC2A8,SLC2A8__A0A087WT42
A0A087WT53,MAGI1,,A0A087WT53_MAGI1,MAGI1__A0A087WT53
A0A0G2JNC6,TMC4,Transmembrane channel-like protein,A0A0G2JNC6_TMC4,TMC4__A0A0G2JNC6
A0A087WTA8,COL1A2,Collagen alpha-2(I) chain,A0A087WTA8_COL1A2,COL1A2__A0A087WTA8
A0A087WTJ2,GIMAP1-GIMAP5,GTPase IMAP family member 5,A0A087WTJ2_GIMAP1-GIMAP5,GIMAP1-GIMAP5__A0A087WTJ2
A0A087WTK0,PTPRJ,Protein-tyrosine-phosphatase,A0A087WTK0_PTPRJ,PTPRJ__A0A087WTK0
A0A087WTM1,ROBO1,Roundabout homolog 1,A0A087WTM1_ROBO1,ROBO1__A0A087WTM1
F8W6X9,SDK1,Protein sidekick-1,F8W6X9_SDK1,SDK1__F8W6X9
A0A087WTS0,GPX2,Glutathione peroxidase,A0A087WTS0_GPX2,GPX2__A0A087WTS0
A0A087WVR3,UHRF1,E3 ubiquitin-protein ligase UHRF1,A0A087WVR3_UHRF1,UHRF1__A0A087WVR3
A0A0A0MRA9,RGS6,Regulator of G-protein signaling 6,A0A0A0MRA9_RGS6,RGS6__A0A0A0MRA9
A0A087WTY7,GBA3,Cytosolic beta-glucosidase,A0A087WTY7_GBA3,GBA3__A0A087WTY7
A0A087WU02,ERGIC2,Endoplasmic reticulum-Golgi intermediate compartment protein 2,A0A087WU02_ERGIC2,ERGIC2__A0A087WU02
Q13030,GPErik,Glycophorin-A,Q13030_GPErik,GPErik__Q13030
A0A087WU53,MAGT1,Magnesium transporter protein 1,A0A087WU53_MAGT1,MAGT1__A0A087WU53
A0A087WU64,POLA1,DNA polymerase,A0A087WU64_POLA1,POLA1__A0A087WU64
E7ER32,MKL1,MKL/myocardin-like protein 1,E7ER32_MKL1,MKL1__E7ER32
A0A087WUB9,CTNNBL1,Beta-catenin-like protein 1,A0A087WUB9_CTNNBL1,CTNNBL1__A0A087WUB9
A0A087WUD1,ZNF787,Zinc finger protein 787,A0A087WUD1_ZNF787,ZNF787__A0A087WUD1
A0A087WUD6,GAGE2E,G antigen 4,A0A087WUD6_GAGE2E,GAGE2E__A0A087WUD6
A0A087WZ03,CNTNAP3B,Contactin-associated protein-like 3,A0A087WZ03_CNTNAP3B,CNTNAP3B__A0A087WZ03
J3QTS8,TPSAB1,Tryptase alpha/beta-1,J3QTS8_TPSAB1,TPSAB1__J3QTS8
G5E9H5,SNX10,Sorting nexin-10,G5E9H5_SNX10,SNX10__G5E9H5
H0Y8A4,RYK,Tyrosine-protein kinase RYK,H0Y8A4_RYK,RYK__H0Y8A4
A0A087WUK2,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,A0A087WUK2_HNRNPDL,HNRNPDL__A0A087WUK2
A0A087WXK2,PEG10,Retrotransposon-derived protein PEG10,A0A087WXK2_PEG10,PEG10__A0A087WXK2
A0A087WUM0,SYNJ2BP-COX16,Synaptojanin-2-binding protein,A0A087WUM0_SYNJ2BP-COX16,SYNJ2BP-COX16__A0A087WUM0
A0A087WUQ6,GPX1,Glutathione peroxidase,A0A087WUQ6_GPX1,GPX1__A0A087WUQ6
E7ETK0,RPS24,40S ribosomal protein S24,E7ETK0_RPS24,RPS24__E7ETK0
A0A087WUT6,EIF5B,Eukaryotic translation initiation factor 5B,A0A087WUT6_EIF5B,EIF5B__A0A087WUT6
A0A087WUW0,CBY1,Protein chibby homolog 1,A0A087WUW0_CBY1,CBY1__A0A087WUW0
A0A087WUW9,ARL15,ADP-ribosylation factor-like protein 15,A0A087WUW9_ARL15,ARL15__A0A087WUW9
A0A087WUY7,PIAS2,E3 SUMO-protein ligase PIAS2,A0A087WUY7_PIAS2,PIAS2__A0A087WUY7
A0A087WV05,MYCBP,C-Myc-binding protein,A0A087WV05_MYCBP,MYCBP__A0A087WV05
A0A0A0MR14,OSCAR,Osteoclast-associated immunoglobulin-like receptor,A0A0A0MR14_OSCAR,OSCAR__A0A0A0MR14
A0A087WV24,DDC,Aromatic-L-amino-acid decarboxylase,A0A087WV24_DDC,DDC__A0A087WV24
A0A087WV67,UBXN8,UBX domain-containing protein 8,A0A087WV67_UBXN8,UBXN8__A0A087WV67
A0A087WV96,CYP3A7,,A0A087WV96_CYP3A7,CYP3A7__A0A087WV96
A0A087WVA1,SELT,Selenoprotein T,A0A087WVA1_SELT,SELT__A0A087WVA1
A0A087WVF7,ITSN2,Intersectin-2,A0A087WVF7_ITSN2,ITSN2__A0A087WVF7
A0A087WVM2,CD177,CD177 antigen,A0A087WVM2_CD177,CD177__A0A087WVM2
A0A087WVP1,FAT1,Protocadherin Fat 1,A0A087WVP1_FAT1,FAT1__A0A087WVP1
A0A087WVQ6,CLTC,Clathrin heavy chain,A0A087WVQ6_CLTC,CLTC__A0A087WVQ6
A0A087WVS8,MOB2,MOB kinase activator 2,A0A087WVS8_MOB2,MOB2__A0A087WVS8
A0A087WVX4,DIO1,Iodothyronine deiodinase,A0A087WVX4_DIO1,DIO1__A0A087WVX4
A0A087WW06,TTC28,Tetratricopeptide repeat protein 28,A0A087WW06_TTC28,TTC28__A0A087WW06
A0A087WX95,RUSC1,RUN and SH3 domain-containing protein 1,A0A087WX95_RUSC1,RUSC1__A0A087WX95
A0A087WW23,ALOX5AP,Arachidonate 5-lipoxygenase-activating protein,A0A087WW23_ALOX5AP,ALOX5AP__A0A087WW23
C9JAG1,EPT1,Ethanolaminephosphotransferase 1,C9JAG1_EPT1,EPT1__C9JAG1
A0A087WW66,PSMD1,,A0A087WW66_PSMD1,PSMD1__A0A087WW66
A0A087X0Q4,IGKV2-40,Ig kappa chain V-II region Cum,A0A087X0Q4_IGKV2-40,IGKV2-40__A0A087X0Q4
A0A087WW96,SYN2,Synapsin-2,A0A087WW96_SYN2,SYN2__A0A087WW96
A0A087WWA5,TNXB,,A0A087WWA5_TNXB,TNXB__A0A087WWA5
A0A087WWF1,SELM,Selenoprotein M,A0A087WWF1_SELM,SELM__A0A087WWF1
A0A087WWF6,POLD2,DNA polymerase delta subunit 2,A0A087WWF6_POLD2,POLD2__A0A087WWF6
A0A087WWH3,GLTSCR1,Glioma tumor suppressor candidate region gene 1 protein,A0A087WWH3_GLTSCR1,GLTSCR1__A0A087WWH3
A0A087WWI0,C10orf11,Leucine-rich repeat-containing protein C10orf11,A0A087WWI0_C10orf11,C10orf11__A0A087WWI0
A0A087WWK8,IQSEC1,IQ motif and SEC7 domain-containing protein 1,A0A087WWK8_IQSEC1,IQSEC1__A0A087WWK8
A0A087WWM4,GMPR2,GMP reductase,A0A087WWM4_GMPR2,GMPR2__A0A087WWM4
A0A087WWM6,PRODH,"Proline dehydrogenase 1, mitochondrial",A0A087WWM6_PRODH,PRODH__A0A087WWM6
A0A087WWP4,RBM15,Putative RNA-binding protein 15,A0A087WWP4_RBM15,RBM15__A0A087WWP4
A0A087WWP8,RSBN1,Round spermatid basic protein 1,A0A087WWP8_RSBN1,RSBN1__A0A087WWP8
A0A087WWR8,SULF1,Extracellular sulfatase Sulf-1,A0A087WWR8_SULF1,SULF1__A0A087WWR8
A0A087WWS1,THOC1,THO complex subunit 1,A0A087WWS1_THOC1,THOC1__A0A087WWS1
A0A087WWW7,TNS1,,A0A087WWW7_TNS1,TNS1__A0A087WWW7
A0A087WWW8,CABIN1,Calcineurin-binding protein cabin-1,A0A087WWW8_CABIN1,CABIN1__A0A087WWW8
H7BZL1,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5,H7BZL1_MAP2K5,MAP2K5__H7BZL1
A0A087WWY8,CFAP99,Cilia- and flagella-associated protein 99,A0A087WWY8_CFAP99,CFAP99__A0A087WWY8
A0A087WWY9,RIN3,Ras and Rab interactor 3,A0A087WWY9_RIN3,RIN3__A0A087WWY9
A0A087WXB8,ST3GAL6,"Type 2 lactosamine alpha-2,3-sialyltransferase",A0A087WXB8_ST3GAL6,ST3GAL6__A0A087WXB8
A0A087WXC5,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",A0A087WXC5_NDUFA10,NDUFA10__A0A087WXC5
A0A087WXD1,SLC9A7,Sodium/hydrogen exchanger,A0A087WXD1_SLC9A7,SLC9A7__A0A087WXD1
E9PQ70,PAMR1,Inactive serine protease PAMR1,E9PQ70_PAMR1,PAMR1__E9PQ70
A0A0D9SEW3,ZCCHC17,Nucleolar protein of 40 kDa,A0A0D9SEW3_ZCCHC17,ZCCHC17__A0A0D9SEW3
A0A087WXI0,RAB44,Ras-related protein Rab-44,A0A087WXI0_RAB44,RAB44__A0A087WXI0
A0A087WXK4,GPR155,Integral membrane protein GPR155,A0A087WXK4_GPR155,GPR155__A0A087WXK4
J3QSS3,ABCA2,ATP-binding cassette sub-family A member 2,J3QSS3_ABCA2,ABCA2__J3QSS3
A0A087WXK8,FAM83D,Protein FAM83D,A0A087WXK8_FAM83D,FAM83D__A0A087WXK8
A0A087WXL1,FOLR3,Folate receptor gamma,A0A087WXL1_FOLR3,FOLR3__A0A087WXL1
A0A087WXL6,VPS11,,A0A087WXL6_VPS11,VPS11__A0A087WXL6
A0A087WXM6,RPL17,60S ribosomal protein L17,A0A087WXM6_RPL17,RPL17__A0A087WXM6
A0A087WXN9,MTSS1L,MTSS1-like protein,A0A087WXN9_MTSS1L,MTSS1L__A0A087WXN9
A0A087WXR3,BFAR,Bifunctional apoptosis regulator,A0A087WXR3_BFAR,BFAR__A0A087WXR3
A0A087WXS0,TNNI2,"Troponin I, fast skeletal muscle",A0A087WXS0_TNNI2,TNNI2__A0A087WXS0
A0A087WXU0,RMND1,Required for meiotic nuclear division protein 1 homolog,A0A087WXU0_RMND1,RMND1__A0A087WXU0
A0A087WXV4,HNF4A,Hepatocyte nuclear factor 4-alpha,A0A087WXV4_HNF4A,HNF4A__A0A087WXV4
H7BZQ3,OTUD5,OTU domain-containing protein 5,H7BZQ3_OTUD5,OTUD5__H7BZQ3
A0A087WXW9,COL5A1,,A0A087WXW9_COL5A1,COL5A1__A0A087WXW9
A0A087WXX8,SDHB,,A0A087WXX8_SDHB,SDHB__A0A087WXX8
A0A087WY55,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,A0A087WY55_VTA1,VTA1__A0A087WY55
A0A087WY58,NEK3,Serine/threonine-protein kinase Nek3,A0A087WY58_NEK3,NEK3__A0A087WY58
A0A087WZR0,PCSK6,Proprotein convertase subtilisin/kexin type 6,A0A087WZR0_PCSK6,PCSK6__A0A087WZR0
A0A087WY71,AP2M1,AP-2 complex subunit mu,A0A087WY71_AP2M1,AP2M1__A0A087WY71
A0A087WY85,UBE2D3,Ubiquitin-conjugating enzyme E2 D3,A0A087WY85_UBE2D3,UBE2D3__A0A087WY85
A0A087WY96,SLC6A6,Transporter,A0A087WY96_SLC6A6,SLC6A6__A0A087WY96
H3BN27,PLLP,Plasmolipin,H3BN27_PLLP,PLLP__H3BN27
A0A087WYF7,APOOL,MICOS complex subunit MIC27,A0A087WYF7_APOOL,APOOL__A0A087WYF7
G3V4A5,MED6,Mediator of RNA polymerase II transcription subunit 6,G3V4A5_MED6,MED6__G3V4A5
A0A087WYN9,DHX29,ATP-dependent RNA helicase DHX29,A0A087WYN9_DHX29,DHX29__A0A087WYN9
A0A087WYP2,C11orf31,Selenoprotein H,A0A087WYP2_C11orf31,C11orf31__A0A087WYP2
A0A087WYP7,TBL3,,A0A087WYP7_TBL3,TBL3__A0A087WYP7
A0A087WYT3,PTGES3,Prostaglandin E synthase 3,A0A087WYT3_PTGES3,PTGES3__A0A087WYT3
A0A087WYU2,C16orf13,UPF0585 protein C16orf13,A0A087WYU2_C16orf13,C16orf13__A0A087WYU2
A0A087WYV8,FBN2,Fibrillin-2,A0A087WYV8_FBN2,FBN2__A0A087WYV8
A0A087WYV9,SYNJ2BP-COX16,,A0A087WYV9_SYNJ2BP-COX16,SYNJ2BP-COX16__A0A087WYV9
A0A087WZ09,GATA4,Transcription factor GATA-4,A0A087WZ09_GATA4,GATA4__A0A087WZ09
A0A087WZ13,RAVER1,Ribonucleoprotein PTB-binding 1,A0A087WZ13_RAVER1,RAVER1__A0A087WZ13
A0A087X072,RECQL4,ATP-dependent DNA helicase Q4,A0A087X072_RECQL4,RECQL4__A0A087X072
A0A087WZ54,TMEM154,Transmembrane protein 154,A0A087WZ54_TMEM154,TMEM154__A0A087WZ54
A0A087WZ62,ALG9,"Alpha-1,2-mannosyltransferase ALG9",A0A087WZ62_ALG9,ALG9__A0A087WZ62
A0A087WZ65,ANK3,,A0A087WZ65_ANK3,ANK3__A0A087WZ65
A0A087WZK6,FAM69A,Protein FAM69A,A0A087WZK6_FAM69A,FAM69A__A0A087WZK6
E0YMJ8,HNF1B,Hepatocyte nuclear factor 1-beta,E0YMJ8_HNF1B,HNF1B__E0YMJ8
A0A087WZE9,HMGN3,High mobility group nucleosome-binding domain-containing protein 3,A0A087WZE9_HMGN3,HMGN3__A0A087WZE9
A0A087WZF1,LPP,,A0A087WZF1_LPP,LPP__A0A087WZF1
A0A087WZG4,ARHGEF18,Rho guanine nucleotide exchange factor 18,A0A087WZG4_ARHGEF18,ARHGEF18__A0A087WZG4
A0A087WZK0,DHPS,Deoxyhypusine synthase,A0A087WZK0_DHPS,DHPS__A0A087WZK0
D6RHI9,RNASET2,Ribonuclease T2,D6RHI9_RNASET2,RNASET2__D6RHI9
A0A087WZM8,TMEM254,Transmembrane protein 254,A0A087WZM8_TMEM254,TMEM254__A0A087WZM8
A0A087WZN1,IDH3B,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",A0A087WZN1_IDH3B,IDH3B__A0A087WZN1
A0A087WZP9,LIME1,,A0A087WZP9_LIME1,LIME1__A0A087WZP9
A0A087WZQ7,NAPB,Beta-soluble NSF attachment protein,A0A087WZQ7_NAPB,NAPB__A0A087WZQ7
A0A087WZR4,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,A0A087WZR4_FCGR3B,FCGR3B__A0A087WZR4
A0A087WZT0,SAMD4B,Protein Smaug homolog 2,A0A087WZT0_SAMD4B,SAMD4B__A0A087WZT0
A0A087WZT2,METTL7B,Methyltransferase-like protein 7B,A0A087WZT2_METTL7B,METTL7B__A0A087WZT2
A0A087WZX0,BCL9L,B-cell CLL/lymphoma 9-like protein,A0A087WZX0_BCL9L,BCL9L__A0A087WZX0
A0A087WZY6,ENO4,,A0A087WZY6_ENO4,ENO4__A0A087WZY6
A0A087WZZ4,RHAG,Ammonium transporter Rh type A,A0A087WZZ4_RHAG,RHAG__A0A087WZZ4
J3KPF9,KIF3A,Kinesin-like protein,J3KPF9_KIF3A,KIF3A__J3KPF9
A0A087X020,SBDS,Ribosome maturation protein SBDS,A0A087X020_SBDS,SBDS__A0A087X020
A0A087X089,CCL14,C-C motif chemokine,A0A087X089_CCL14,CCL14__A0A087X089
A0A087X0B7,SNAP47,Synaptosomal-associated protein 47,A0A087X0B7_SNAP47,SNAP47__A0A087X0B7
A0A087X0D5,CTSH,Pro-cathepsin H,A0A087X0D5_CTSH,CTSH__A0A087X0D5
A0A087X0H9,RBM26,RNA-binding protein 26,A0A087X0H9_RBM26,RBM26__A0A087X0H9
A0A087X0K0,COL15A1,Collagen alpha-1(XV) chain,A0A087X0K0_COL15A1,COL15A1__A0A087X0K0
A0A087X0M4,SLC4A1AP,Kanadaptin,A0A087X0M4_SLC4A1AP,SLC4A1AP__A0A087X0M4
A0A087X0M8,CHL1,Neural cell adhesion molecule L1-like protein,A0A087X0M8_CHL1,CHL1__A0A087X0M8
A0A087X0N2,LEPROT,Leptin receptor gene-related protein,A0A087X0N2_LEPROT,LEPROT__A0A087X0N2
A0A087X0N3,NOL4L,Nucleolar protein 4-like,A0A087X0N3_NOL4L,NOL4L__A0A087X0N3
A0A087X0P0,CENPE,Kinesin-like protein,A0A087X0P0_CENPE,CENPE__A0A087X0P0
A0A087X0Q5,CLEC18B,C-type lectin domain family 18 member C,A0A087X0Q5_CLEC18B,CLEC18B__A0A087X0Q5
A0A087X0Q9,SELO,Selenoprotein O,A0A087X0Q9_SELO,SELO__A0A087X0Q9
F5H6S1,KDM6A,Lysine-specific demethylase 6A,F5H6S1_KDM6A,KDM6A__F5H6S1
A0A087X0R6,SNX12,Sorting nexin-12,A0A087X0R6_SNX12,SNX12__A0A087X0R6
A0A087X0S5,COL6A1,Collagen alpha-1(VI) chain,A0A087X0S5_COL6A1,COL6A1__A0A087X0S5
A0A087X0T3,MYH7B,Myosin-7B,A0A087X0T3_MYH7B,MYH7B__A0A087X0T3
A0A087X0U3,SLC1A3,Amino acid transporter,A0A087X0U3_SLC1A3,SLC1A3__A0A087X0U3
A0A087X0V5,OAS2,2-5-oligoadenylate synthase 2,A0A087X0V5_OAS2,OAS2__A0A087X0V5
A0A087X0W7,ACOT2,"Acyl-coenzyme A thioesterase 2, mitochondrial",A0A087X0W7_ACOT2,ACOT2__A0A087X0W7
A0A087X0W9,OTUD6B,OTU domain-containing protein 6B,A0A087X0W9_OTUD6B,OTUD6B__A0A087X0W9
A0A087X0Y7,CD72,B-cell differentiation antigen CD72,A0A087X0Y7_CD72,CD72__A0A087X0Y7
A0A087X106,KRT81,"Keratin, type II cuticular Hb1",A0A087X106_KRT81,KRT81__A0A087X106
A0A0G2JN29,NOMO1,Nodal modulator 1,A0A0G2JN29_NOMO1,NOMO1__A0A0G2JN29
E7EWM3,ZMIZ2,Zinc finger MIZ domain-containing protein 2,E7EWM3_ZMIZ2,ZMIZ2__E7EWM3
A0A087X159,SSBP2,Single-stranded DNA-binding protein 2,A0A087X159_SSBP2,SSBP2__A0A087X159
A0A087X165,SRCIN1,SRC kinase signaling inhibitor 1,A0A087X165_SRCIN1,SRCIN1__A0A087X165
A0A087X188,BIN2,Bridging integrator 2,A0A087X188_BIN2,BIN2__A0A087X188
G3V4U9,ATXN3,Ataxin-3,G3V4U9_ATXN3,ATXN3__G3V4U9
A0A087X1B1,IKBKG,NF-kappa-B essential modulator,A0A087X1B1_IKBKG,IKBKG__A0A087X1B1
A0A087X1E4,ARFIP2,Arfaptin-2,A0A087X1E4_ARFIP2,ARFIP2__A0A087X1E4
A0A087X1G7,SELENOF,15 kDa selenoprotein,A0A087X1G7_SELENOF,SELENOF__A0A087X1G7
A0A087X1I8,ARMC9,LisH domain-containing protein ARMC9,A0A087X1I8_ARMC9,ARMC9__A0A087X1I8
A0A087X1J7,GPX3,Glutathione peroxidase,A0A087X1J7_GPX3,GPX3__A0A087X1J7
A0A087X1K6,KLF13,Krueppel-like factor 13,A0A087X1K6_KLF13,KLF13__A0A087X1K6
A0A087X1L8,ICOSLG,ICOS ligand,A0A087X1L8_ICOSLG,ICOSLG__A0A087X1L8
C9IYE1,CADPS2,Calcium-dependent secretion activator 2,C9IYE1_CADPS2,CADPS2__C9IYE1
A0A087X1R1,SMTN,,A0A087X1R1_SMTN,SMTN__A0A087X1R1
A0A087X1S7,CD48,CD48 antigen,A0A087X1S7_CD48,CD48__A0A087X1S7
A0A087X1T7,ACAN,Aggrecan core protein,A0A087X1T7_ACAN,ACAN__A0A087X1T7
A0A087X1W8,CADM1,Cell adhesion molecule 1,A0A087X1W8_CADM1,CADM1__A0A087X1W8
A0A0G2JQX1,TUBGCP5,Gamma-tubulin complex component 5,A0A0G2JQX1_TUBGCP5,TUBGCP5__A0A0G2JQX1
A0A087X1Z3,PSME2,Proteasome activator complex subunit 2,A0A087X1Z3_PSME2,PSME2__A0A087X1Z3
A0A087X211,KIAA1524,Protein CIP2A,A0A087X211_KIAA1524,KIAA1524__A0A087X211
A0A087X256,KIAA1033,WASH complex subunit 7,A0A087X256_KIAA1033,KIAA1033__A0A087X256
A0A087X279,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2,A0A087X279_IFIT2,IFIT2__A0A087X279
A0A087X295,WDR6,WD repeat-containing protein 6,A0A087X295_WDR6,WDR6__A0A087X295
G5E965,FOXP1,Forkhead box protein P1,G5E965_FOXP1,FOXP1__G5E965
A0A087X2D5,MRPL45,"39S ribosomal protein L45, mitochondrial",A0A087X2D5_MRPL45,MRPL45__A0A087X2D5
A0A087X2D8,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,A0A087X2D8_SPAG9,SPAG9__A0A087X2D8
A0A087X2I1,PSMC6,26S protease regulatory subunit 10B,A0A087X2I1_PSMC6,PSMC6__A0A087X2I1
A0A088AWN2,WDR20,WD repeat-containing protein 20,A0A088AWN2_WDR20,WDR20__A0A088AWN2
E7EP87,NARF,Nuclear prelamin A recognition factor,E7EP87_NARF,NARF__E7EP87
A0A088AWP5,PRUNE2,Protein prune homolog 2,A0A088AWP5_PRUNE2,PRUNE2__A0A088AWP5
A0A096LNX8,SCARF2,Scavenger receptor class F member 2,A0A096LNX8_SCARF2,SCARF2__A0A096LNX8
A0A096LP25,AAK1,Uncharacterized protein FLJ45252,A0A096LP25_AAK1,AAK1__A0A096LP25
A0A0G2JJ26,TRIM39-RPP21,Ribonuclease P protein subunit p21,A0A0G2JJ26_TRIM39-RPP21,TRIM39-RPP21__A0A0G2JJ26
A0A096LP44,RAB7B,Ras-related protein Rab-7b,A0A096LP44_RAB7B,RAB7B__A0A096LP44
A0A096LP69,CD99,,A0A096LP69_CD99,CD99__A0A096LP69
