Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
AATK,"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77",ENSG00000181409,Apoptosis associated tyrosine kinase,17,81117295-81166077,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA009073,Enhanced,,Uncertain,Mitochondria,,Mixed,Tissue enhanced,,cerebral cortex: 36.4;duodenum: 23.4,small intestine: 18.3,Group enriched,5,CACO-2: 35.4;SH-SY5Y: 15.1
ABAT,GABAT,ENSG00000183044,4-aminobutyrate aminotransferase,16,8674565-8784575,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA041528, HPA041690",Enhanced,Supported,Supported,Mitochondria,"Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 164.5;kidney: 135.3;liver: 175.2,thyroid gland: 47.5,Cell line enhanced,,Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1
ABCB1,"ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1",ENSG00000085563,ATP binding cassette subfamily B member 1,7,87503633-87713323,"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB001716, HPA002199",Enhanced,,Approved,Nucleoplasm<br>Focal adhesion sites<br>Cytosol,"Renal cancer:2.95e-4 (favourable), Pancreatic cancer:3.33e-4 (favourable)",Tissue enhanced,Tissue enhanced,,adrenal gland: 137.8;small intestine: 82.4,kidney: 37.3,Cell line enhanced,,CACO-2: 56.6;HEL: 34.4;SH-SY5Y: 85.9
ABCB4,"GBD1, MDR2, MDR3, PFIC-3, PGY3",ENSG00000005471,ATP binding cassette subfamily B member 4,7,87401697-87480435,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA049395, HPA053288",Approved,,Approved,Nucleoplasm<br>Plasma membrane<br>Actin filaments<br>Focal adhesion sites,,Tissue enriched,Tissue enriched,6,liver: 69.3,adrenal gland: 10.7,Group enriched,6,SH-SY5Y: 14.2;WM-115: 25.6
ABHD10,FLJ11342,ENSG00000144827,Abhydrolase domain containing 10,3,111979010-111993363,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA036991, HPA036992, HPA066081",Supported,,Approved,Mitochondria,"Renal cancer:4.72e-9 (favourable), Cervical cancer:7.57e-4 (favourable)",Expressed in all,Expressed in all,,,epididymis: 62.1,Expressed in all,,
ABHD12,"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106",ENSG00000100997,Abhydrolase domain containing 12,20,25294743-25390983,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA026866,Uncertain,,,,"Cervical cancer:1.30e-5 (favourable), Breast cancer:3.81e-5 (unfavourable), Liver cancer:7.18e-4 (unfavourable)",Expressed in all,Expressed in all,,,epididymis: 137.3,Expressed in all,,
ABHD2,LABH2,ENSG00000140526,Abhydrolase domain containing 2,15,89087459-89202360,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA005999,Approved,,Approved,Nucleoplasm<br>Cytosol,Renal cancer:2.18e-7 (favourable),Expressed in all,Expressed in all,,,testis: 93.8,Expressed in all,,
ABHD3,LABH3,ENSG00000158201,Abhydrolase domain containing 3,18,21650897-21704805,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA010729,Approved,,Approved,Nucleus<br>Vesicles<br>Plasma membrane,Melanoma:8.52e-4 (unfavourable),Expressed in all,Expressed in all,,,rectum: 71.5,Cell line enhanced,,REH: 188.5;RPMI-8226: 159.6
ABHD4,FLJ12816,ENSG00000100439,Abhydrolase domain containing 4,14,22598237-22613215,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA000600,Uncertain,,Approved,Nucleus,,Expressed in all,Expressed in all,,,testis: 62.8,Mixed,,
ABHD5,"CGI-58, NCIE2",ENSG00000011198,Abhydrolase domain containing 5,3,43690113-43734371,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB020685, HPA035851, HPA035852",Approved,,Approved,Vesicles,"Renal cancer:9.17e-5 (favourable), Colorectal cancer:8.89e-4 (favourable)",Expressed in all,Expressed in all,,,adipose tissue: 50.6,Expressed in all,,
ABHD6,,ENSG00000163686,Abhydrolase domain containing 6,3,58237506-58295693,"Enzymes, Predicted membrane proteins",Evidence at protein level,"HPA017283, HPA073225",Uncertain,,Approved,Nucleoplasm<br>Vesicles,"Renal cancer:1.11e-11 (favourable), Colorectal cancer:1.13e-4 (favourable)",Expressed in all,Mixed,,,small intestine: 50.9,Mixed,,
ABL1,"ABL, c-ABL, JTK7, p150",ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase",9,130713946-130887675,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"CAB002686, HPA027251, HPA027280, HPA028409",Supported,,Enhanced,Nucleoplasm<br>Nuclear bodies,,Expressed in all,Expressed in all,,,parathyroid gland: 83.9,Expressed in all,,
ABL2,"ABLL, ARG",ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1,179099327-179229684,"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"HPA001866, CAB017106, HPA072754",Uncertain,,Supported,Nucleoplasm,"Renal cancer:1.78e-7 (unfavourable), Cervical cancer:3.50e-4 (unfavourable), Urothelial cancer:8.40e-4 (unfavourable)",Expressed in all,Mixed,,,gallbladder: 20.3,Expressed in all,,
ACAA1,,ENSG00000060971,Acetyl-CoA acyltransferase 1,3,38103129-38137242,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA006764, HPA007244",Enhanced,,Enhanced,Peroxisomes,"Renal cancer:6.99e-9 (favourable), Head and neck cancer:1.23e-4 (favourable), Breast cancer:3.00e-4 (favourable), Endometrial cancer:7.53e-4 (favourable)",Expressed in all,Expressed in all,,,liver: 328.4,Expressed in all,,
ACAA2,DSAEC,ENSG00000167315,Acetyl-CoA acyltransferase 2,18,49782167-49813960,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA042303,Enhanced,,Supported,Mitochondria,"Renal cancer:1.36e-10 (favourable), Endometrial cancer:8.53e-4 (unfavourable)",Expressed in all,Expressed in all,,,liver: 509.5,Mixed,,
ACACA,"ACAC, ACC, ACC1",ENSG00000278540,Acetyl-CoA carboxylase alpha,17,37084988-37406818,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB013715, HPA036650, HPA063018",Approved,,Supported,Nucleoli fibrillar center<br>Actin filaments<br>Cytosol,Liver cancer:1.24e-5 (unfavourable),Expressed in all,Mixed,,,breast: 28.8,Expressed in all,,
ACACB,"ACC2, ACCB, HACC275",ENSG00000076555,Acetyl-CoA carboxylase beta,12,109116595-109268226,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA006554,Enhanced,,,,"Renal cancer:1.15e-5 (favourable), Pancreatic cancer:1.93e-4 (favourable)",Expressed in all,Tissue enriched,6,adipose tissue: 194.8,parathyroid gland: 30.6,Cell line enriched,13,ASC diff: 152.8
ACADL,"ACAD4, LCAD",ENSG00000115361,"Acyl-CoA dehydrogenase, long chain",2,210187939-210225491,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA011990,Enhanced,Supported,,,Renal cancer:1.58e-11 (favourable),Group enriched,Tissue enhanced,,thyroid gland: 32.0,prostate: 27.0,Cell line enhanced,,HAP1: 1.6;HeLa: 2.5;RPTEC TERT1: 2.5;U-2 OS: 1.9
ACADM,"ACAD1, MCAD, MCADH",ENSG00000117054,"Acyl-CoA dehydrogenase, C-4 to C-12 straight chain",1,75724347-75787575,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA006198, HPA026542",Enhanced,,Enhanced,Mitochondria,"Renal cancer:3.83e-8 (favourable), Colorectal cancer:7.30e-4 (favourable)",Expressed in all,Expressed in all,,,kidney: 328.0,Expressed in all,,
ACADS,"ACAD3, SCAD",ENSG00000122971,"Acyl-CoA dehydrogenase, C-2 to C-3 short chain",12,120725735-120740008,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA004799, CAB019284, HPA022271",Enhanced,,Enhanced,Mitochondria,"Renal cancer:3.33e-6 (favourable), Urothelial cancer:6.34e-5 (favourable), Liver cancer:2.43e-4 (favourable), Endometrial cancer:5.05e-4 (favourable), Glioma:9.94e-4 (unfavourable)",Expressed in all,Expressed in all,,,duodenum: 81.2,Cell line enhanced,,HMC-1: 30.0
ACADSB,"ACAD7, SBCAD",ENSG00000196177,"Acyl-CoA dehydrogenase, short/branched chain",10,123008979-123058311,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA041458,Enhanced,,Supported,Mitochondria,"Renal cancer:6.37e-12 (favourable), Pancreatic cancer:3.40e-4 (favourable)",Expressed in all,Expressed in all,,,liver: 186.7,Expressed in all,,
ACADVL,"ACAD6, LCACD, VLCAD",ENSG00000072778,"Acyl-CoA dehydrogenase, very long chain",17,7217125-7225273,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA019006, HPA020595",Enhanced,,Supported,Nucleus<br>Nucleoli<br>Mitochondria,Pancreatic cancer:6.87e-4 (favourable),Expressed in all,Expressed in all,,,adrenal gland: 453.7,Expressed in all,,
ACAT1,"ACAT, THIL",ENSG00000075239,Acetyl-CoA acetyltransferase 1,11,108121516-108147776,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA004428, HPA007569",Enhanced,,Enhanced,Mitochondria,"Renal cancer:0.00e+0 (favourable), Liver cancer:1.43e-5 (favourable)",Expressed in all,Expressed in all,,,kidney: 534.2,Expressed in all,,
ACAT2,,ENSG00000120437,Acetyl-CoA acetyltransferase 2,6,159760328-159779055,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB021106, HPA025736, HPA025765, HPA025811",Enhanced,,Supported,Nucleus<br>Cytosol,"Colorectal cancer:1.12e-4 (favourable), Endometrial cancer:7.25e-4 (unfavourable), Renal cancer:7.38e-4 (unfavourable)",Expressed in all,Mixed,,,liver: 45.8,Expressed in all,,
ACE,"ACE1, CD143, DCP1",ENSG00000159640,Angiotensin I converting enzyme,17,63477061-63498380,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB002426, CAB002921, HPA029298, HPA069790",Enhanced,,Approved,Vesicles,,Expressed in all,Tissue enhanced,,duodenum: 178.9;small intestine: 291.6,testis: 83.7,Cell line enhanced,,ASC TERT1: 44.4;HUVEC TERT2: 28.2
ACE2,,ENSG00000130234,Angiotensin I converting enzyme 2,X,15561033-15602148,"Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,"HPA000288, CAB026174",Enhanced,,,,"Renal cancer:2.12e-5 (favourable), Liver cancer:4.21e-4 (favourable)",Tissue enhanced,Group enriched,5,duodenum: 181.1;gallbladder: 100.2;kidney: 94.0;small intestine: 261.1;testis: 93.0,heart muscle: 27.9,Cell line enhanced,,HaCaT: 1.1
ACER1,ASAH3,ENSG00000167769,Alkaline ceramidase 1,19,6306142-6333629,"Enzymes, Predicted membrane proteins",Evidence at transcript level,,,,,,,Group enriched,Tissue enriched,6,skin: 67.8,esophagus: 11.4,Cell line enhanced,,T-47d: 2.7
ACER2,"ALKCDase2, ASAH3L, FLJ41587",ENSG00000177076,Alkaline ceramidase 2,9,19409059-19452020,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,5,placenta: 14.8;stomach: 62.9;urinary bladder: 44.1,skin: 7.6,Group enriched,5,BEWO: 30.0;RT4: 62.6
ACHE,YT,ENSG00000087085,Acetylcholinesterase (Cartwright blood group),7,100889994-100896974,"Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA019704, HPA027098",,,Approved,Golgi apparatus<br>Vesicles,"Renal cancer:3.88e-5 (unfavourable), Glioma:7.16e-4 (unfavourable)",Mixed,Tissue enhanced,,skeletal muscle: 58.5,cerebral cortex: 14.1,Cell line enhanced,,BEWO: 11.7;CACO-2: 17.5;K-562: 20.7;Karpas-707: 25.8
ACLY,"ACL, ATPCL, CLATP",ENSG00000131473,ATP citrate lyase,17,41866908-41930542,"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB007783, HPA022434, HPA022953, HPA022959, HPA028758",Enhanced,,Supported,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Cervical cancer:1.79e-4 (unfavourable), Liver cancer:3.66e-4 (unfavourable)",Expressed in all,Expressed in all,,,prostate: 100.5,Expressed in all,,
ACMSD,,ENSG00000153086,Aminocarboxymuconate semialdehyde decarboxylase,2,134838547-134902034,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA010533, HPA011179",Enhanced,,,,Renal cancer:2.39e-4 (favourable),Group enriched,Group enriched,10,kidney: 137.3;liver: 80.2,gallbladder: 10.8,Cell line enriched,16,RPTEC TERT1: 19.7
ACO1,"IREB1, IREBP, IRP1",ENSG00000122729,Aconitase 1,9,32384603-32454769,"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA019371, HPA024157",Enhanced,,Supported,Mitochondria<br>Cytosol,Renal cancer:5.73e-5 (favourable),Expressed in all,Expressed in all,,,adipose tissue: 105.1,Expressed in all,,
ACO2,ACONM,ENSG00000100412,Aconitase 2,22,41469125-41528989,"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA001097,Enhanced,Supported,Supported,Mitochondria,Renal cancer:0.00e+0 (favourable),Expressed in all,Expressed in all,,,heart muscle: 308.9,Expressed in all,,
ACOD1,"CAD, IRG1",ENSG00000102794,Aconitate decarboxylase 1,13,76948497-76958642,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040143,Uncertain,,,,,Not detected,Tissue enriched,5,appendix: 1.9,lung: 0.3,Not detected,,
ACOT1,"ACH2, CTE-1, LACH2",ENSG00000184227,Acyl-CoA thioesterase 1,14,73537114-73543794,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA043705,Approved,,Approved,Mitochondria,Renal cancer:5.09e-8 (favourable),Expressed in all,Mixed,,,smooth muscle: 29.4,Cell line enhanced,,T-47d: 35.8
ACOT12,"Cach, STARD15, THEAL",ENSG00000172497,Acyl-CoA thioesterase 12,5,81330005-81394179,"Enzymes, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA037723, HPA037724",,,Approved,Nucleoplasm<br>Cytosol,Liver cancer:5.30e-4 (favourable),Tissue enriched,Tissue enriched,19,liver: 51.3,kidney: 2.7,Not detected,,
ACOT2,"Mte1, ZAP128",ENSG00000119673,Acyl-CoA thioesterase 2,14,73567620-73575658,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA043705, HPA060170",Enhanced,,Approved,Mitochondria,Renal cancer:2.28e-6 (favourable),Expressed in all,Expressed in all,,,adipose tissue: 96.5,Mixed,,
ACOT4,"FLJ31235, PTE-Ib, PTE2B",ENSG00000177465,Acyl-CoA thioesterase 4,14,73591706-73596496,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA000779,Enhanced,,,,"Renal cancer:8.43e-5 (favourable), Pancreatic cancer:1.77e-4 (unfavourable)",Expressed in all,Tissue enhanced,,kidney: 8.9,liver: 4.9,Cell line enhanced,,CAPAN-2: 9.1;SK-BR-3: 12.3;T-47d: 38.6
ACOT7,"ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126",ENSG00000097021,Acyl-CoA thioesterase 7,1,6264269-6394391,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA025735, HPA025762",Enhanced,,Supported,Nucleoplasm<br>Cytosol,"Renal cancer:2.55e-6 (unfavourable), Liver cancer:2.31e-5 (unfavourable), Lung cancer:1.29e-4 (unfavourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 129.2,small intestine: 62.3,Expressed in all,,
ACOT8,"hACTE-III, hTE, NAP1, PTE-2, PTE1",ENSG00000101473,Acyl-CoA thioesterase 8,20,45841721-45857406,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,CAB010261,Approved,,Supported,Vesicles<br>Mitochondria,Renal cancer:3.18e-4 (favourable),Expressed in all,Expressed in all,,,cerebral cortex: 30.1,Expressed in all,,
ACOX1,PALMCOX,ENSG00000161533,Acyl-CoA oxidase 1,17,75941507-75979363,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB021094, HPA021192, HPA021195, HPA028759",Approved,,Enhanced,Nucleus<br>Vesicles,Renal cancer:5.25e-7 (favourable),Expressed in all,Expressed in all,,,liver: 98.4,Expressed in all,,
ACOX2,"BRCACOX, BRCOX, THCCox",ENSG00000168306,Acyl-CoA oxidase 2,3,58505136-58537319,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA038280, HPA064845",Enhanced,,Supported,Vesicles<br>Cytosol,,Tissue enhanced,Tissue enhanced,,liver: 87.9,kidney: 42.5,Cell line enhanced,,ASC diff: 10.4;ASC TERT1: 17.4;fHDF/TERT166: 6.6;Hep G2: 7.0;HSkMC: 11.8
ACOX3,,ENSG00000087008,"Acyl-CoA oxidase 3, pristanoyl",4,8366282-8440723,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA035840, HPA035841",Uncertain,,Approved,Peroxisomes,Endometrial cancer:2.16e-4 (favourable),Expressed in all,Expressed in all,,,esophagus: 22.2,Expressed in all,,
ACP1,"HAAP, LMW-PTP, LMWPTP",ENSG00000143727,"Acid phosphatase 1, soluble",2,264140-278283,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA016754,Approved,,Approved,Nucleus<br>Cytosol,"Liver cancer:6.67e-6 (unfavourable), Melanoma:3.04e-4 (unfavourable)",Expressed in all,Expressed in all,,,adrenal gland: 128.8,Expressed in all,,
ACP2,LAP,ENSG00000134575,"Acid phosphatase 2, lysosomal",11,47239302-47248906,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,,,,,,Endometrial cancer:1.04e-4 (favourable),Expressed in all,Expressed in all,,,duodenum: 41.2,Expressed in all,,
ACP5,"HPAP, TRAP",ENSG00000102575,"Acid phosphatase 5, tartrate resistant",19,11574660-11579008,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB002584, HPA057655, HPA059463",Enhanced,,Approved,Cytosol,,Expressed in all,Tissue enhanced,,lung: 254.0,lymph node: 86.3,Cell line enhanced,,BEWO: 36.2;SK-MEL-30: 85.3;U-138 MG: 97.5
ACP6,"ACPL1, LPAP",ENSG00000162836,"Acid phosphatase 6, lysophosphatidic",1,147629652-147670496,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA028560,Uncertain,,,,Urothelial cancer:6.44e-4 (favourable),Expressed in all,Expressed in all,,,parathyroid gland: 27.1,Cell line enhanced,,RPTEC TERT1: 90.7
ACP7,"FLJ16165, PAPL, PAPL1",ENSG00000183760,"Acid phosphatase 7, tartrate resistant (putative)",19,39083913-39111493,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA042005, HPA042613",Uncertain,,,,,Group enriched,Group enriched,6,cerebral cortex: 1.8;skin: 6.9;tonsil: 2.3,"epididymis,prostate: 0.5",Cell line enhanced,,hTEC/SVTERT24-B: 9.3;U-87 MG: 43.5
ACPP,"ACP-3, ACP3, PAP",ENSG00000014257,"Acid phosphatase, prostate",3,132317367-132368298,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB000071, HPA004335, HPA063916",Enhanced,,,,,Tissue enriched,Tissue enriched,145,prostate: 6030.6,esophagus: 41.4,Cell line enhanced,,BJ hTERT+: 14.1;RPMI-8226: 39.1;U-87 MG: 14.6
ACPT,,ENSG00000142513,"Acid phosphatase, testicular",19,50790415-50795224,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,skin: 1.4;testis: 2.2,parathyroid gland: 0.5,Cell line enhanced,,HEK 293: 1.3;U-266/84: 1.3
ACR,,ENSG00000100312,Acrosin,22,50738196-50745334,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA048687,Enhanced,,,,,Not detected,Tissue enriched,57,testis: 58.0,spleen: 1.0,Not detected,,
ACSBG1,"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352",ENSG00000103740,Acyl-CoA synthetase bubblegum family member 1,15,78167468-78245688,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA041642, CAB045955, HPA058869",Approved,,Approved,Vesicles,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 25.6;skin: 13.3,adrenal gland: 8.1,Cell line enhanced,,NTERA-2: 3.3
ACSBG2,"BGR, DKFZp434K1635, PRTD-NY3",ENSG00000130377,Acyl-CoA synthetase bubblegum family member 2,19,6135247-6193094,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA043421, HPA051013",Enhanced,,Uncertain,Cytosol,,Not detected,Tissue enriched,716,testis: 294.0,cerebral cortex: 0.4,Not detected,,
ACSL1,"ACS1, FACL1, FACL2, LACS, LACS1, LACS2",ENSG00000151726,Acyl-CoA synthetase long-chain family member 1,4,184755595-184826818,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA011316, HPA011964",Enhanced,,Supported,Nucleus<br>Mitochondria,Renal cancer:1.25e-5 (favourable),Expressed in all,Expressed in all,,,adipose tissue: 824.0,Expressed in all,,
ACSL3,"ACS3, FACL3, PRO2194",ENSG00000123983,Acyl-CoA synthetase long-chain family member 3,2,222860934-222944639,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA011315, HPA071021",Uncertain,,Approved,Nucleoli<br>Lipid droplets,"Liver cancer:2.75e-4 (unfavourable), Lung cancer:8.78e-4 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 682.1,Expressed in all,,
